"ENTREZID","ENSEMBL","SYMBOL"
"71330","ENSMUSG00000035469","Rcbtb1"
"239122","ENSMUSG00000071350","Setdb2"
"268752","ENSMUSG00000014547","Wdfy2"
"14137","ENSMUSG00000021273","Fdft1"
"67750","ENSMUSG00000021961","4930578I06Rik"
"73977","ENSMUSG00000093472","4930438E09Rik"
"72549","ENSMUSG00000033589","Reep4"
"67381","ENSMUSG00000022109","Med4"
"214254","ENSMUSG00000033405","Nudt15"
"13885","ENSMUSG00000021996","Esd"
"67302","ENSMUSG00000022000","Zc3h13"
"338337","ENSMUSG00000034893","Cog3"
"22070","ENSMUSG00000060126","Tpt1"
"66214","ENSMUSG00000022018","Rgcc"
"72486","ENSMUSG00000022120","Rnf219"
"723905","ENSMUSG00000065508","Mir17"
"105245866","ENSMUSG00000075463","4930594M22Rik"
"239319","ENSMUSG00000041849","Card6"
"78244","ENSMUSG00000044224","Dnajc21"
"67832","ENSMUSG00000022247","Brix1"
"66270","ENSMUSG00000022270","Retreg1"
"67724","ENSMUSG00000022325","Pop1"
"66696","ENSMUSG00000013611","Snx31"
"223499","ENSMUSG00000022300","Dcaf13"
"223499","ENSMUSG00000106903","Dcaf13"
"100503794","ENSMUSG00000053749","Gm9920"
"76773","ENSMUSG00000022359","Wdyhv1"
"76773","ENSMUSG00000116135","Wdyhv1"
"210998","ENSMUSG00000037119","Fam91a1"
"210998","ENSMUSG00000116351","Fam91a1"
"68260","ENSMUSG00000037085","Trmt12"
"20775","ENSMUSG00000022351","Sqle"
"223593","ENSMUSG00000022350","Washc5"
"66769","ENSMUSG00000044276","4933427E11Rik"
"223626","ENSMUSG00000056665","Them6"
"223642","ENSMUSG00000075600","Zc3h3"
"66194","ENSMUSG00000022571","Pycrl"
"22122","ENSMUSG00000022570","Tsta3"
