"ENTREZID","ENSEMBL","SYMBOL"
"15006","ENSMUSG00000079507","H2-Q1"
"15018","ENSMUSG00000060550","H2-Q7"
"106795","ENSMUSG00000050410","Tcf19"
"57390","ENSMUSG00000024409","Psors1c2"
"69542","ENSMUSG00000039269","2300002M23Rik"
"74601","ENSMUSG00000092171","4833427F10Rik"
"100316810","ENSMUSG00000084751","Mir1894"
"630294","ENSMUSG00000092243","Gm7030"
"667977","ENSMUSG00000073402","Gm8909"
"15043","ENSMUSG00000054128","H2-T3"
"224753","ENSMUSG00000048231","H2-M10.4"
"69097","ENSMUSG00000050747","Trim15"
"224762","ENSMUSG00000058063","Trim31"
"258469","ENSMUSG00000056600","Olfr90"
"258505","ENSMUSG00000058802","Olfr97"
"258218","ENSMUSG00000091531","Olfr102"
"14990","ENSMUSG00000016283","H2-M2"
"258263","ENSMUSG00000095286","Olfr117"
"258624","ENSMUSG00000063994","Olfr120"
"11572","ENSMUSG00000025433","Crisp3"
"11571","ENSMUSG00000025431","Crisp1"
"100126777","ENSMUSG00000095540","Esp4"
"100043332","ENSMUSG00000096140","Ankrd66"
"268958","ENSMUSG00000058626","Capn11"
"68463","ENSMUSG00000023939","Mrpl14"
"320148","ENSMUSG00000043740","B430306N03Rik"
"320148","ENSMUSG00000116225","B430306N03Rik"
"71326","ENSMUSG00000023993","Treml1"
"71326","ENSMUSG00000116425","Treml1"
"320593","ENSMUSG00000117172","A230051N06Rik"
"102465591","ENSMUSG00000099066","Mir6978"
"107766","ENSMUSG00000000673","Haao"
"225152","ENSMUSG00000036855","Gjd4"
"387151","ENSMUSG00000065399","Mir133a-1"
"100316686","ENSMUSG00000084565","Mir1901"
"13505","ENSMUSG00000044322","Dsc1"
"16769","ENSMUSG00000001804","Dsg4"
"106957","ENSMUSG00000024270","Slc39a6"
"102465186","ENSMUSG00000098252","Mir6361"
"27528","ENSMUSG00000042834","Nrep"
"107065","ENSMUSG00000071862","Lrrtm2"
"100503380","ENSMUSG00000117869","Snhg4"
"20522","ENSMUSG00000024354","Slc23a1"
"381148","ENSMUSG00000073600","Prob1"
"108112","ENSMUSG00000090264","Eif4ebp3"
"192163","ENSMUSG00000102312","Pcdha3"
"12936","ENSMUSG00000104252","Pcdha4"
"12937","ENSMUSG00000103707","Pcdha6"
"192161","ENSMUSG00000103770","Pcdha9"
"12943","ENSMUSG00000007440","Pcdha10"
"93873","ENSMUSG00000051599","Pcdhb2"
"93876","ENSMUSG00000063687","Pcdhb5"
"93878","ENSMUSG00000045062","Pcdhb7"
"93881","ENSMUSG00000045657","Pcdhb10"
"93885","ENSMUSG00000044043","Pcdhb14"
"93887","ENSMUSG00000047910","Pcdhb16"
"93889","ENSMUSG00000048347","Pcdhb18"
"93892","ENSMUSG00000044022","Pcdhb21"
"93710","ENSMUSG00000103332","Pcdhga2"
"93711","ENSMUSG00000104346","Pcdhga3"
"93712","ENSMUSG00000103677","Pcdhga4"
"93713","ENSMUSG00000103567","Pcdhga5"
"93714","ENSMUSG00000103793","Pcdhga6"
"93701","ENSMUSG00000103585","Pcdhgb4"
"93717","ENSMUSG00000102440","Pcdhga9"
"93722","ENSMUSG00000102222","Pcdhga10"
"93704","ENSMUSG00000104063","Pcdhgb7"
"66839","ENSMUSG00000024442","Dele1"
"20730","ENSMUSG00000024503","Spink1"
"18169","ENSMUSG00000038071","Npy6r"
"58916","ENSMUSG00000024471","Myot"
"113939900","ENSMUSG00000118407","Ancv1r"
"102465790","ENSMUSG00000099196","Mir1258"
"75444","ENSMUSG00000058925","Ccdc192"
"225594","ENSMUSG00000068606","Gm4841"
"240328","ENSMUSG00000090942","F830016B08Rik"
"102465703","ENSMUSG00000098247","Mir7220"
"18596","ENSMUSG00000024620","Pdgfrb"
"319713","ENSMUSG00000032735","Ablim3"
"108654","ENSMUSG00000038121","Fam210a"
"19201","ENSMUSG00000025429","Pstpip2"
