"Id","Label","Degree","Betweenness","Expression"
"ENSMUSP00000015435","Gdi1",5,92.76,0
"ENSMUSP00000056461","Arhgap15",5,92.76,0
"ENSMUSP00000075658","Arhgap10",5,92.76,0
"ENSMUSP00000064680","Junb",5,72.18,0
"ENSMUSP00000018737","Sparc",5,49.5,0
"ENSMUSP00000039416","Exoc3",5,12.71,0
"ENSMUSP00000047586","Gngt2",5,5.47,0
"ENSMUSP00000031670","Gng11",5,5.47,0
"ENSMUSP00000022925","Eif3h",5,4.56,0
"ENSMUSP00000111222","Yeats2",5,0.25,0
"ENSMUSP00000018795","Tada2a",5,0.25,0
"ENSMUSP00000041022","Lsm1",5,0.25,0
"ENSMUSP00000062843","Mcmbp",5,0,0
"ENSMUSP00000057238","Lsm8",5,0,0
"ENSMUSP00000011450","Sugp1",5,0,0
"ENSMUSP00000048337","Wdr43",5,0,0
"ENSMUSP00000026900","Hgs",4,13358.43,0
"ENSMUSP00000017975","Rab5a",4,4044.02,0
"ENSMUSP00000127330","Rab1a",4,3044,0
"ENSMUSP00000032182","Xpc",4,2785.75,0
"ENSMUSP00000025965","Hells",4,2581.52,0
"ENSMUSP00000089708","Stat6",4,2471.44,0
"ENSMUSP00000029623","Tlr2",4,2175.98,0
"ENSMUSP00000102724","Plaa",4,2135.55,0
"ENSMUSP00000099501","Ube4b",4,2078.99,0
"ENSMUSP00000059501","Vamp8",4,2032.34,0
"ENSMUSP00000026390","Rabgef1",4,2031,0
"ENSMUSP00000030051","Txn1",4,2031,0
"ENSMUSP00000004560","Bid",4,2031,0
"ENSMUSP00000043806","Melk",4,2031,0
"ENSMUSP00000095171","Cd74",4,2031,0
"ENSMUSP00000023171","Hes1",4,1663.95,0
"ENSMUSP00000119303","Numb",4,1619.2,0
"ENSMUSP00000079689","Dab2",4,1467.14,0
"ENSMUSP00000055862","Arf6",4,1271.13,0
"ENSMUSP00000085192","Col3a1",4,1202.32,0
"ENSMUSP00000035065","Ptgs2",4,1199.31,0
"ENSMUSP00000084055","Tcf7",4,1165.19,0
"ENSMUSP00000025078","Map3k8",4,1127.97,0
"ENSMUSP00000032491","Tnfrsf1a",4,1070.8,0
"ENSMUSP00000019076","Map2k3",4,1067.34,0
"ENSMUSP00000025230","C2",4,1041,0
"ENSMUSP00000027241","Il1r1",4,1019.87,0
"ENSMUSP00000026990","Thoc3",4,1016.5,0
"ENSMUSP00000114843","Syvn1",4,1016,0
"ENSMUSP00000017692","Suz12",4,1016,0
"ENSMUSP00000048218","Acta2",4,1016,0
"ENSMUSP00000021347","Sel1l",4,1016,0
"ENSMUSP00000030128","Chmp5",4,1014.5,0
"ENSMUSP00000113588","2610002M06Rik",4,1014.5,0
"ENSMUSP00000063707","C1ra",4,1004.5,0
"ENSMUSP00000078741","Notch2",4,748.86,0
"ENSMUSP00000086094","Smarcc1",4,675.85,0
"ENSMUSP00000041282","Map2k4",4,644.61,0
"ENSMUSP00000021271","Per1",4,638.25,0
"ENSMUSP00000074656","Clock",4,532.82,0
"ENSMUSP00000000188","Ccnd2",4,516.46,0
"ENSMUSP00000117022","Nme1",4,507.5,0
"ENSMUSP00000025007","Nme4",4,507.5,0
"ENSMUSP00000030787","Rheb",4,361.24,0
"ENSMUSP00000036285","Smad6",4,274.84,0
"ENSMUSP00000031017","Fosl2",4,260.09,0
